Soil_pH,Nitrogen,Phosphorus,Potassium,Moisture_Content_%,Temperature_C,Historical_Yield_kg_ha,Crop_Yield_kg_ha
5.45,30.8,21.9,54.6,28.5,17.6,1185.2,1074.9
5.99,66.1,59.8,71.2,28.8,16.1,1994.0,1768.5
5.41,56.0,60.9,68.1,7.6,20.2,3370.7,2789.3
4.79,11.9,40.4,28.7,6.8,24.3,2898.0,2550.2
6.91,21.7,76.0,36.4,5.2,18.9,1582.3,1264.5
7.17,83.0,20.2,79.5,28.6,25.4,3596.0,3926.7
6.98,53.5,73.5,67.9,25.9,15.0,3028.7,2673.0
6.35,23.1,61.7,67.0,47.3,39.3,1735.7,1360.1
6.02,51.9,32.6,31.5,20.4,13.2,2776.7,2131.6
7.95,32.8,65.5,73.4,34.6,38.0,6318.6,4684.3
6.58,30.1,15.0,38.7,5.3,37.4,2812.3,1907.2
6.42,96.2,14.8,42.1,34.9,25.8,5283.7,5457.1
4.6,42.6,74.7,33.0,46.1,31.7,4672.3,3745.4
5.86,14.2,12.1,19.7,21.0,23.1,3563.1,3162.8
6.02,97.3,5.3,43.6,19.1,28.9,2434.2,2505.0
6.1,81.5,34.2,11.4,33.2,20.2,3214.1,2901.3
6.82,32.9,12.8,46.5,19.8,19.0,4552.6,4048.4
6.63,46.8,69.7,68.0,23.1,27.3,3104.5,3386.5
6.93,87.6,74.2,86.9,17.3,24.9,2289.4,2366.3
7.56,42.2,41.2,16.3,20.5,27.4,1698.8,1593.1
7.75,61.1,36.9,32.5,35.6,18.6,6278.6,5157.3
7.37,58.1,45.4,49.5,46.5,21.0,3641.9,3394.3
8.32,46.1,22.0,23.6,31.2,12.5,4751.2,3417.1
4.57,67.6,27.3,19.3,5.5,11.6,3942.5,2557.2
5.28,52.6,12.6,46.2,16.9,17.6,6235.4,4666.8
4.53,11.9,38.5,56.5,47.9,12.2,4281.6,3077.7
7.09,83.3,50.9,75.6,46.0,13.1,3884.7,3437.3
8.09,20.2,74.8,89.8,10.2,34.4,6547.6,4702.5
5.47,51.8,60.4,71.9,45.9,11.2,5318.1,3684.5
8.21,62.2,59.2,27.7,48.4,29.8,1669.3,1414.1
4.74,73.5,28.1,69.8,19.6,18.2,2066.2,1784.0
8.24,47.0,71.6,53.0,36.5,36.1,5722.7,4700.8
5.91,76.2,76.0,46.1,30.2,24.5,6015.1,5719.5
4.91,21.8,74.9,84.9,20.2,19.2,4271.1,3973.2
6.44,68.8,7.9,66.2,11.9,25.5,4326.7,4513.6
5.53,84.4,50.3,64.5,21.5,21.5,4791.6,4551.6
5.64,90.0,53.2,10.9,46.8,26.9,3634.7,3524.0
5.73,62.2,27.1,79.2,41.5,13.4,5081.2,4027.2
7.71,38.2,79.4,73.5,19.9,39.9,1650.9,1261.5
6.66,24.7,26.8,33.9,29.6,22.8,6767.7,7281.3
5.75,41.1,21.2,33.4,23.3,20.4,5500.9,5118.9
6.94,58.6,41.3,14.3,26.0,31.3,4787.0,4366.4
7.36,27.7,29.2,14.1,39.3,20.9,2897.9,2550.0
5.59,95.7,74.3,63.5,29.4,35.0,1965.7,1797.7
6.15,90.7,38.0,24.9,13.1,23.6,3456.1,3596.4
4.99,13.0,35.8,83.9,17.1,31.6,4969.5,4042.6
5.22,60.6,51.9,77.4,30.6,13.2,4802.3,3964.5
7.22,81.0,11.1,37.9,36.2,35.4,3295.8,2554.2
5.23,32.1,61.8,40.4,27.9,32.1,4679.7,3761.7
6.6,57.2,62.6,36.2,32.9,16.4,5882.5,5534.2
7.34,46.5,40.6,17.4,40.5,14.4,1157.7,952.6
4.93,27.7,76.7,12.5,29.5,19.5,3703.7,3251.8
6.77,65.3,48.5,46.2,49.0,39.3,5551.3,4421.7
5.53,99.4,57.1,85.4,15.6,17.7,4276.9,3443.9
8.35,42.9,74.3,83.4,46.4,23.7,4908.9,4726.9
6.43,59.7,55.0,74.8,16.1,10.9,4100.1,3139.8
7.72,39.5,37.4,60.3,28.9,21.9,6951.2,6187.5
6.7,88.9,6.9,78.5,25.5,27.1,1327.7,1348.1
4.67,87.8,59.6,51.2,21.8,38.6,3946.3,2824.7
7.03,26.1,77.4,24.4,48.3,25.5,1548.5,1789.7
8.31,91.0,40.3,64.7,17.3,34.6,1958.7,1447.6
6.91,23.6,30.5,83.7,35.4,26.4,3298.2,3344.5
7.78,18.6,43.9,11.6,41.2,11.2,1933.2,1534.1
8.04,68.8,59.6,30.1,13.9,19.5,6782.1,5431.1
5.41,44.7,5.1,31.2,48.8,27.3,6680.7,6911.8
5.35,57.8,71.5,17.9,29.6,38.5,3016.7,2075.9
6.94,68.7,71.5,28.0,46.2,35.8,4838.5,4411.9
6.14,14.8,45.6,40.7,34.9,16.9,4202.5,3672.5
7.86,36.4,14.2,85.2,34.2,16.6,5893.5,5376.4
8.1,51.5,55.4,78.8,20.6,16.0,4764.7,3569.4
5.91,34.0,15.3,85.7,39.7,37.7,1001.5,817.2
5.45,14.4,43.1,19.6,6.3,35.6,5579.0,4317.7
7.62,17.8,12.0,12.2,30.0,33.2,5481.1,4669.7
5.6,82.2,49.2,18.8,6.4,21.8,4058.3,3409.9
7.79,92.0,28.9,83.1,18.8,25.1,6417.5,6113.7
6.19,23.7,67.3,22.6,9.3,23.9,6450.7,6103.9
7.17,32.4,65.0,55.8,46.0,17.6,4143.5,3640.1
4.88,68.7,79.9,28.2,33.3,25.2,4647.9,4786.8
7.0,95.9,24.3,11.7,35.1,10.9,6979.1,4786.7
6.31,37.0,9.6,16.8,43.3,14.0,2792.9,2412.2
6.85,87.0,38.2,66.8,38.0,36.6,2947.7,2464.8
5.17,55.5,11.3,24.6,10.6,32.6,2096.6,1568.3
7.45,96.1,18.4,28.3,32.8,22.7,6375.2,5883.2
7.95,22.3,49.8,40.2,49.0,25.5,5466.9,5066.4
5.37,97.6,49.4,62.6,14.6,21.1,1633.9,1491.9
4.88,49.7,8.2,47.5,32.9,32.2,6890.6,5865.1
4.59,95.8,38.2,85.6,30.4,33.5,5385.8,4501.3
7.07,51.3,44.8,44.7,22.6,32.9,6103.1,5739.7
6.93,57.7,25.1,25.9,48.0,31.7,1288.9,1146.4
6.69,82.4,70.4,52.9,21.0,16.1,4029.8,3697.1
5.43,75.0,17.1,46.1,9.2,20.1,5191.6,4738.7
6.06,65.8,24.0,73.0,48.3,24.1,4257.7,4155.4
6.88,47.5,16.8,84.8,37.8,19.9,4999.9,5199.9
6.49,81.3,13.7,76.9,20.4,32.6,5907.2,5754.9
8.45,95.3,70.9,41.1,17.6,19.9,3246.0,2741.0
5.05,10.9,25.8,27.3,46.8,14.1,6092.0,4676.4
7.28,62.9,59.2,83.2,17.3,22.0,1977.5,2019.6
6.12,87.9,37.1,40.9,29.2,39.4,2625.3,1968.7
6.21,68.8,52.7,71.6,14.7,16.8,1260.1,1158.7
7.37,82.1,74.6,89.2,49.8,28.4,3186.6,2954.6
7.27,90.6,68.3,56.2,39.6,23.0,3279.5,3202.9
8.47,77.6,10.2,48.4,30.5,12.1,5831.6,3823.0
5.01,74.5,68.4,66.0,38.6,24.6,4918.8,4964.2
4.92,96.8,38.9,25.5,46.2,31.1,3620.3,3476.4
7.4,87.7,31.3,49.1,48.3,25.4,4912.7,5265.5
6.81,83.4,55.4,35.0,40.4,36.2,1316.7,1112.1
5.6,17.8,76.3,23.1,43.2,18.7,2081.6,1838.5
4.82,31.5,12.1,58.8,22.9,12.6,4761.7,3113.9
4.84,60.1,62.6,56.1,22.6,38.1,4848.2,3680.8
8.08,73.9,20.3,70.9,41.4,21.3,5644.8,5371.4
5.27,37.3,33.5,79.8,39.2,27.3,3418.0,3624.9
5.79,18.4,70.5,27.6,45.5,33.8,5335.3,4566.5
5.41,38.0,45.9,72.4,11.0,19.7,5103.9,4369.5
5.92,79.4,10.1,39.4,36.1,31.5,6780.4,6751.3
4.78,89.0,43.1,60.3,34.1,14.1,2290.8,1662.9
6.58,92.2,64.2,78.0,40.9,18.7,4310.1,4005.5
4.77,44.1,44.7,30.5,6.1,14.3,4610.6,3338.5
7.7,43.5,17.5,58.1,42.2,34.3,6991.9,5836.6
5.43,46.6,38.4,48.4,19.7,16.7,2207.1,1836.3
6.66,43.8,74.3,73.2,35.9,31.5,4139.3,3695.3
8.02,70.0,54.4,65.8,32.7,38.3,3077.1,2469.9
7.1,42.2,59.7,71.6,24.8,25.8,4155.4,4408.3
6.63,11.8,63.9,33.0,38.6,26.2,2392.8,2373.2
5.8,49.5,11.8,66.3,48.3,23.8,1285.7,1279.0
5.83,30.2,48.6,58.5,19.6,19.8,4435.4,4318.9
7.18,12.6,33.2,46.5,38.7,24.3,3015.1,2997.4
8.48,52.4,15.4,40.3,19.2,28.1,2091.6,1849.1
7.15,28.5,20.2,36.5,43.1,39.6,2943.6,2004.7
6.73,50.7,63.6,10.8,24.7,38.1,1295.7,944.6
7.42,35.0,17.1,23.6,25.2,35.9,6702.7,5093.5
6.36,64.3,28.4,14.7,39.7,36.7,4486.9,3789.1
4.74,99.2,26.4,77.9,27.3,24.0,5888.6,5451.4
6.75,59.3,8.6,78.8,17.0,29.7,3538.7,3598.5
8.33,68.2,39.7,77.7,49.8,36.9,6419.9,4720.8
5.2,92.7,62.4,75.4,32.9,21.8,3899.9,3980.4
7.26,43.7,6.7,27.7,34.0,38.9,4443.7,3167.3
5.3,25.0,13.4,49.3,34.1,22.5,3950.8,3982.6
6.64,35.5,59.0,82.6,44.8,28.0,5399.7,6076.6
4.89,46.3,49.5,70.8,13.3,31.3,4399.9,3451.8
6.3,68.1,58.6,10.1,7.7,38.5,2629.6,1934.9
7.52,10.4,22.3,46.8,22.4,17.3,1873.2,1443.9
5.89,86.8,65.3,10.9,30.4,32.4,4636.7,4291.8
7.16,16.8,41.0,32.5,17.9,25.6,3935.1,4112.7
7.68,91.1,50.8,44.9,36.0,18.1,1575.9,1370.3
8.21,95.4,11.9,81.4,8.3,33.3,3373.7,2615.8
5.44,99.1,20.4,62.4,40.6,26.6,4088.7,3894.0
6.1,82.9,63.0,39.0,37.3,29.8,5961.4,5576.4
5.11,22.8,21.8,49.3,14.6,19.7,1456.6,1192.6
8.47,73.6,11.9,75.4,18.4,24.4,3091.0,2692.3
8.21,28.3,49.8,34.0,41.3,28.5,5935.9,5252.6
6.66,90.7,46.1,59.2,39.8,22.1,4890.5,5473.6
7.87,38.5,50.6,31.0,41.6,16.0,2739.7,2191.2
6.58,39.4,51.4,48.4,19.5,38.8,6072.0,4370.6
6.99,92.6,42.5,12.0,48.6,25.3,3959.8,4160.0
4.86,11.2,42.0,78.2,37.2,32.0,3990.1,3714.3
7.52,27.5,74.3,13.9,7.9,22.3,6859.5,6571.1
5.01,48.0,45.0,27.9,26.5,20.7,6682.7,5601.8
7.8,73.1,51.3,36.7,34.9,22.2,3151.2,3170.5
7.63,68.3,25.0,60.0,12.6,22.3,1843.5,1794.6
7.33,70.2,70.3,67.6,45.6,26.3,2954.0,3379.2
4.64,89.2,6.8,16.4,38.9,26.3,1182.9,1213.1
5.71,20.9,46.8,13.5,8.7,24.9,1124.6,994.6
5.55,57.0,33.8,73.9,46.1,14.0,3373.1,2756.4
5.94,75.3,50.3,67.0,23.2,24.9,6646.1,7185.2
4.85,67.3,32.0,76.5,25.4,15.1,6228.1,5368.1
8.25,50.3,58.8,64.1,40.2,13.8,4068.7,2907.4
6.72,11.5,6.5,70.1,34.0,38.0,4391.4,3311.3
5.72,15.4,35.4,40.3,24.7,28.1,1035.6,969.4
6.09,20.7,67.3,57.2,16.7,29.8,2293.0,2077.9
6.29,40.9,23.8,74.4,28.3,22.1,1148.6,1128.8
6.9,20.6,9.0,23.8,31.1,37.3,5527.2,4137.9
6.56,48.3,42.2,43.8,33.4,29.1,1873.9,2013.1
8.18,26.1,78.2,69.2,32.2,33.1,6214.3,5482.6
6.49,80.1,9.8,52.6,32.8,21.1,4859.9,5039.2
8.47,88.4,10.3,64.5,26.4,38.8,2376.5,1626.8
7.91,45.1,49.6,33.4,30.3,34.6,1946.3,1674.3
5.33,56.0,23.8,12.6,18.0,35.6,4765.7,3334.8
8.22,95.8,35.8,12.3,12.1,15.2,6405.0,4508.4
4.97,58.2,67.3,85.4,32.3,18.1,5310.2,5056.7
7.77,99.6,19.9,85.6,7.1,18.6,3091.3,2662.6
6.02,22.8,58.9,26.9,7.9,18.1,4524.3,3586.6
8.01,87.6,42.8,21.8,16.1,35.7,2864.6,2365.1
7.97,54.7,72.9,11.5,13.7,11.0,6994.9,5278.8
7.72,12.0,78.0,28.5,21.8,12.3,5493.0,4320.5
7.66,97.5,41.4,36.7,21.7,18.2,4686.3,3839.3
5.72,96.9,48.8,29.3,10.3,16.0,3539.6,2766.5
4.82,44.5,60.9,73.8,16.1,17.0,4708.9,3738.8
6.11,95.9,28.9,70.0,5.2,33.9,3049.7,2580.4
5.19,22.7,22.0,16.5,20.8,26.9,1173.2,1184.0
7.28,71.2,77.4,65.8,40.8,10.2,3370.5,2777.1
5.88,27.3,37.4,51.6,17.0,22.9,6582.9,6841.2
8.4,32.2,5.1,20.6,34.0,22.2,4757.8,3909.3
7.06,80.1,67.8,69.2,9.4,13.4,1503.7,1238.8
7.79,44.0,50.0,16.9,5.6,30.3,6310.0,5715.3
5.03,10.6,17.6,24.2,27.4,31.1,2613.2,2121.7
7.95,47.3,7.3,21.9,25.8,31.6,2462.6,1941.4
8.19,30.5,26.9,85.1,13.6,31.9,2782.5,2383.5
6.45,71.5,74.6,65.9,17.9,10.0,4463.2,3050.7
6.93,27.5,75.0,42.9,6.4,38.6,4268.1,3374.4
7.56,85.8,28.3,75.8,40.9,34.4,3948.5,3132.0
5.2,34.0,67.7,27.3,18.6,37.1,5305.2,3877.4
6.51,45.4,38.1,84.5,14.9,10.5,2899.2,2358.1
6.09,36.8,54.1,65.8,41.2,38.0,5692.4,4967.5
5.09,68.0,30.1,54.8,6.8,34.3,2051.9,1676.2
5.97,19.1,43.7,73.6,17.8,35.1,5695.7,4918.0
4.77,53.0,27.0,61.6,16.8,12.8,4982.9,3915.1
4.6,40.1,9.6,81.0,16.8,32.2,5099.2,4446.1
5.04,89.6,15.5,76.3,5.5,38.8,3889.3,2753.5
8.35,16.6,26.8,25.8,47.1,30.4,5002.0,4571.9
6.7,84.7,78.2,29.2,43.9,27.1,1478.8,1593.0
8.36,25.1,77.4,15.2,23.7,38.4,6109.3,4252.0
6.23,18.0,67.1,27.6,25.0,23.3,1333.3,1432.9
5.75,28.2,22.4,37.5,28.6,28.0,1892.4,1878.1
6.52,19.2,38.1,12.3,26.5,24.3,4460.7,4882.0
6.26,56.9,38.0,35.2,40.1,38.0,5436.5,3965.2
4.92,98.9,34.0,71.7,27.0,12.3,1457.5,1101.3
7.06,13.1,8.4,77.2,13.5,25.0,6524.6,6245.0
5.36,51.5,45.1,10.7,10.3,30.6,6841.6,5834.4
6.98,44.7,10.5,10.6,46.3,33.8,4635.7,4100.9
7.1,40.6,65.1,21.7,7.2,27.5,3887.5,3890.5
5.11,39.9,56.8,79.8,45.4,37.3,5448.4,3854.9
4.75,90.6,31.5,47.5,36.1,38.3,2970.1,2023.6
7.62,11.7,53.5,88.6,23.2,11.9,3959.6,3164.5
6.34,79.7,22.5,81.0,13.4,22.1,6496.9,6950.9
4.73,32.8,24.9,81.2,19.0,10.7,6733.9,4169.3
8.48,44.5,28.6,20.3,28.8,19.9,6562.4,5383.9
4.73,47.8,64.8,48.0,34.6,26.1,2574.7,2244.7
7.28,37.4,20.8,89.5,36.1,37.3,2394.8,1976.1
8.43,18.4,47.2,21.9,25.1,35.4,2786.0,2148.1
5.46,20.3,20.0,55.9,21.8,13.8,3647.9,2815.6
5.07,36.8,26.4,37.5,39.6,12.8,2885.0,2258.5
4.99,84.0,22.7,41.0,46.6,27.7,3245.3,3160.1
5.71,22.1,53.4,81.3,46.2,26.0,4723.8,4666.8
4.9,76.8,44.5,57.0,29.8,18.0,5575.2,5007.2
7.27,36.0,59.1,70.7,8.6,37.0,5413.3,4310.3
4.75,89.5,21.5,63.9,8.3,37.8,5886.5,4423.0
6.54,48.5,5.7,52.3,23.1,22.1,1193.1,1274.8
8.49,25.5,56.0,73.3,38.0,36.7,1286.4,1014.6
7.76,98.7,13.6,87.7,27.4,21.5,5736.3,4928.8
6.96,25.9,23.5,87.3,33.2,32.1,4198.5,3415.0
5.73,61.1,27.9,73.2,42.9,24.3,4468.8,4894.2
7.0,61.2,61.0,49.0,6.8,13.7,1315.5,931.0
6.61,43.6,51.9,23.1,46.6,37.8,2531.9,1975.5
6.2,95.6,18.8,13.6,19.9,23.6,4830.1,4470.0
5.02,85.9,49.8,28.5,7.1,32.0,6155.1,5508.9
8.05,84.7,58.1,37.2,42.6,21.0,6501.9,5889.1
6.3,97.7,34.2,20.4,47.0,10.6,4002.5,2846.6
5.28,51.1,23.4,28.0,39.6,13.0,4272.8,3571.7
5.97,18.7,55.9,16.7,41.2,24.9,5998.3,6395.8
6.16,78.9,50.8,51.9,44.2,30.7,4225.7,3712.4
7.81,44.3,10.8,20.1,28.5,20.0,4101.2,3835.6
7.43,27.1,55.0,69.4,35.6,30.9,6430.5,5451.2
7.58,53.5,41.6,36.6,17.9,31.0,5739.6,5267.3
4.54,93.3,61.5,63.8,16.2,31.1,6454.4,5554.2
6.16,25.4,19.3,80.6,32.4,24.8,2309.5,2258.1
6.43,86.4,24.4,16.9,38.1,37.4,4146.3,3526.2
4.58,47.6,45.7,89.1,22.9,24.7,6054.8,5752.1
5.54,22.3,41.1,61.6,23.0,23.5,1666.9,1657.6
7.54,86.4,34.0,14.3,47.9,16.0,5768.0,5312.1
5.05,97.3,61.0,35.1,28.3,19.2,2097.8,1772.1
6.64,36.2,47.4,80.9,49.4,11.3,5848.7,4582.9
5.36,37.3,58.3,57.7,43.8,29.0,4672.0,4907.0
4.55,45.1,16.5,33.0,33.8,17.5,2159.4,1758.8
5.46,83.3,59.7,85.2,5.4,19.1,3840.1,3393.4
8.4,10.9,39.6,73.0,18.3,33.1,5091.4,3834.6
7.71,30.2,7.5,68.8,23.8,19.8,4803.1,4147.7
8.34,73.5,22.6,81.1,34.4,17.3,3563.5,2983.5
6.45,46.5,6.9,71.6,22.8,15.1,6396.2,5101.0
4.94,39.7,39.3,32.9,42.3,33.2,4115.6,3257.3
6.69,88.5,29.4,56.7,34.8,13.9,4035.2,3456.0
6.32,92.6,79.1,77.4,20.6,23.6,1373.5,1343.8
7.88,95.3,70.1,24.5,40.3,25.2,6532.7,6774.2
4.89,34.5,66.9,23.0,18.6,30.6,2062.7,1821.3
6.45,92.1,42.6,22.7,7.8,29.0,4170.1,3692.3
5.1,76.3,65.5,25.5,12.8,34.3,5821.4,4811.2
5.8,23.9,25.0,18.3,5.1,11.3,2292.7,1548.6
7.45,64.9,47.0,77.0,42.5,18.9,4164.2,4249.4
6.4,12.4,34.5,75.5,33.2,18.4,2444.1,2471.1
6.0,73.8,17.9,22.1,30.7,14.4,5558.2,4797.6
6.08,76.0,10.4,66.4,34.8,18.7,4386.0,3933.0
6.34,81.0,46.9,60.2,34.4,19.3,6135.9,6411.7
7.64,25.5,12.3,32.1,30.4,25.7,6367.3,6801.2
8.07,66.5,58.9,28.2,42.9,29.9,4892.4,4436.8
8.32,26.1,74.1,30.0,24.8,21.4,5352.3,4865.1
7.65,95.2,17.2,68.5,41.2,31.6,4295.3,3500.1
5.76,70.8,40.3,35.5,40.4,20.1,3306.6,2849.2
7.25,18.6,60.4,32.2,14.0,18.7,4888.7,4214.3
6.25,26.8,26.5,11.8,25.4,26.2,6449.7,6560.1
5.52,69.7,74.1,82.7,42.6,10.7,3500.1,2571.3
7.86,52.9,71.6,70.2,42.4,12.4,2886.5,2059.4
4.65,76.3,12.8,47.8,6.1,22.5,3330.6,3083.7
8.11,35.3,7.1,85.4,15.0,38.3,3612.4,2475.6
6.35,69.2,78.2,33.5,24.1,31.6,1441.4,1366.9
7.05,25.9,76.7,64.0,7.1,12.6,3990.7,3091.2
7.14,58.9,36.7,34.4,16.7,35.4,3965.9,3180.8
8.08,96.2,8.8,35.2,16.6,32.0,4530.7,3490.9
7.05,66.5,51.4,77.6,14.7,28.3,3176.9,3111.7
6.96,14.5,27.0,73.0,22.8,34.6,4678.6,3718.6
4.77,99.0,75.3,33.5,41.6,22.1,6269.3,6401.8
6.57,24.1,64.6,16.5,16.0,16.6,6732.8,5379.9
5.1,74.6,53.7,38.6,31.2,25.4,4501.7,4295.1
7.45,57.9,26.3,70.8,30.1,26.5,1255.5,1229.7
6.55,36.5,57.6,18.0,41.8,26.1,6815.4,7543.5
7.22,26.0,26.7,63.8,22.7,27.0,5235.2,5283.6
4.67,26.0,7.8,81.2,15.1,38.5,3015.8,1989.4
4.84,87.3,43.1,24.3,45.1,37.1,1882.9,1448.5
7.37,88.6,41.7,79.0,42.5,36.3,1860.5,1457.9
4.79,51.9,62.2,14.1,33.0,34.0,2006.5,1696.8
4.79,19.3,69.9,63.4,9.2,38.3,1273.4,825.5
4.55,89.6,31.6,73.3,5.7,13.0,6412.9,4840.4
8.33,53.8,38.7,45.6,13.2,18.0,4244.6,3720.8
7.45,49.5,40.3,26.3,13.8,24.9,5199.8,5569.1
5.91,46.7,29.3,84.0,11.1,35.4,5968.7,5085.3
5.69,42.9,60.8,11.6,16.8,25.2,5749.2,5353.4
5.9,57.3,44.2,54.4,20.2,32.4,6295.6,5384.1
7.6,64.4,73.5,39.8,38.9,14.2,6803.5,5085.3
7.15,52.0,53.8,46.9,36.9,17.6,3634.4,3036.4
5.24,90.7,20.9,52.9,9.7,32.0,6702.0,5076.9
5.2,38.6,17.4,52.8,49.0,14.9,5339.7,4491.3
4.89,62.0,32.9,26.3,38.8,20.5,1424.0,1294.8
7.14,37.0,31.0,64.4,12.4,17.9,5090.7,4710.1
7.56,77.8,35.5,11.5,10.6,20.5,5120.3,4476.3
5.56,19.2,18.8,11.7,8.9,31.2,6435.2,5492.0
4.58,27.0,78.4,48.3,37.9,21.0,3237.6,2874.2
4.83,82.1,15.9,53.4,15.6,26.7,4509.5,4430.9
8.37,26.5,53.9,32.0,8.3,13.0,1073.1,812.9
5.68,66.3,6.0,54.1,24.0,34.2,2992.5,2426.4
7.58,97.3,35.5,51.3,36.9,21.1,1373.5,1204.8
7.0,57.1,28.2,37.9,18.7,29.5,4131.2,3549.9
6.03,26.9,33.7,62.1,26.7,31.8,5904.7,5486.8
5.32,38.9,42.4,86.6,13.7,16.3,2238.7,1750.9
4.99,84.1,50.0,49.3,24.3,36.5,4164.6,3354.0
6.96,41.6,48.8,72.9,21.2,28.5,2224.1,2242.6
7.6,75.1,52.3,29.8,24.5,22.9,1724.1,1721.8
7.08,80.0,68.3,71.0,26.0,15.5,4066.0,3691.1
6.62,55.1,71.5,61.9,9.2,38.3,1474.9,1176.4
4.67,80.5,60.3,61.2,9.2,32.7,4524.1,3727.4
8.37,38.5,10.9,81.4,16.7,16.2,1188.0,828.7
7.69,56.5,77.1,28.7,10.2,20.1,1640.3,1442.6
5.67,71.8,76.1,39.5,16.4,34.3,4300.0,3606.3
8.42,25.1,58.4,16.6,6.1,30.9,4548.4,3979.1
6.91,34.6,43.8,68.1,20.8,33.0,1173.9,1045.2
6.83,68.7,23.8,77.5,14.6,23.2,4440.3,4466.8
7.49,69.0,61.7,42.5,45.1,31.5,6031.0,5585.6
7.75,54.4,70.8,38.5,43.6,21.6,5333.9,4738.4
7.13,81.6,54.9,62.7,18.5,16.3,1787.1,1498.0
5.01,53.4,52.2,16.0,26.4,29.0,4554.8,3788.2
5.85,89.3,19.5,33.5,48.0,39.3,5033.5,3501.9
8.21,76.2,31.8,39.3,28.6,19.3,1223.4,1021.7
5.4,38.3,59.2,51.5,43.2,23.8,6132.1,6392.8
5.99,45.6,6.3,48.1,42.2,30.2,6437.6,6511.3
6.23,70.1,53.1,26.7,47.4,26.2,6102.7,6911.4
6.26,90.5,62.5,53.3,18.8,35.3,5947.8,4770.5
6.95,26.1,30.1,84.1,7.0,32.9,5469.8,4173.2
8.27,56.3,10.7,12.2,9.7,11.7,4800.6,3165.8
5.46,20.7,66.4,64.4,30.7,40.0,5071.8,3477.5
4.99,35.2,15.6,60.0,28.9,32.6,5838.4,4706.3
5.29,71.7,32.8,84.0,18.4,35.9,4975.0,3918.1
8.05,17.0,58.0,61.6,16.2,29.5,2966.4,2341.2
7.08,69.6,66.3,60.0,36.9,35.7,3255.8,2665.9
5.64,91.1,69.7,71.6,20.3,13.4,6382.3,5116.6
7.76,97.2,44.8,31.4,32.2,20.4,1102.7,1002.6
7.95,29.5,40.7,57.7,37.1,36.3,5192.9,4154.2
7.89,77.4,68.6,51.6,24.4,16.0,6728.7,5173.9
8.18,93.4,47.2,45.1,13.7,12.3,5237.4,3492.7
5.51,18.2,48.4,16.4,43.7,33.6,6963.5,5672.3
7.52,47.3,37.5,33.4,9.2,35.1,5125.3,3632.8
6.34,92.7,33.0,32.4,42.3,14.9,1206.2,994.6
7.87,28.3,41.0,67.9,42.7,35.6,5962.1,4389.0
7.41,94.0,32.4,83.7,30.7,30.6,2707.8,2459.2
7.61,57.4,30.8,28.5,33.3,25.6,3676.3,3813.6
7.12,19.0,79.5,16.0,21.1,34.9,2872.6,2223.5
5.21,50.5,30.2,90.0,42.9,22.6,2611.3,2315.4
6.68,39.4,24.2,65.3,16.9,15.8,3588.4,3042.0
8.44,35.4,31.5,80.9,30.2,18.5,3272.5,2858.3
8.25,58.7,49.3,21.5,5.1,25.2,4800.0,4319.2
4.67,53.5,73.3,74.1,47.3,25.9,5878.9,5662.0
5.16,53.4,64.1,75.1,47.7,34.2,2782.5,2374.8
5.03,17.9,68.2,22.1,37.0,33.7,2282.3,1721.9
7.4,82.2,69.4,22.9,24.0,27.4,5001.4,4989.7
7.77,53.3,74.0,33.6,13.0,33.4,5021.9,4254.7
5.35,83.9,22.6,27.3,27.2,15.8,6406.8,5434.9
6.52,84.2,39.4,88.0,40.6,11.5,1095.7,860.1
7.86,38.5,33.9,39.0,32.2,36.2,6118.2,5023.4
7.43,10.4,33.6,70.9,28.7,12.3,4126.0,3377.4
6.67,92.0,53.9,74.4,43.2,17.4,4727.8,4283.8
6.86,78.5,35.1,40.9,19.1,30.9,1548.2,1340.7
6.53,19.7,51.2,64.6,43.7,22.3,3595.7,3869.9
5.69,73.2,33.7,18.6,24.8,36.3,2363.8,1923.4
6.76,11.8,28.3,41.8,5.1,18.9,2525.4,2185.8
7.26,12.5,31.5,87.4,37.9,10.4,4024.6,3214.5
7.99,57.3,65.3,23.5,44.5,19.0,5874.7,4891.1
7.05,18.6,50.1,40.9,26.8,27.3,5462.7,5300.6
7.54,96.8,78.0,73.2,25.5,21.3,4546.0,3962.1
5.14,90.4,67.4,63.2,41.2,26.0,4236.5,3943.2
6.35,68.5,41.4,60.5,44.8,36.3,3563.8,2765.6
4.54,15.7,23.2,78.3,48.8,37.4,6836.3,5087.4
5.49,39.2,55.5,12.3,20.6,18.0,4361.2,3758.4
7.41,43.5,59.5,71.7,31.8,23.9,2523.8,2298.6
8.47,53.3,39.8,80.6,42.0,26.5,2380.5,2360.0
4.9,25.2,22.2,11.3,28.9,38.5,4668.1,3246.6
6.11,62.0,46.8,54.7,25.8,40.0,4137.0,2861.6
7.7,49.2,24.0,37.9,30.7,17.1,1046.2,792.0
5.32,95.3,75.5,14.1,21.1,31.8,5980.4,4817.4
6.72,94.3,52.2,43.4,13.6,21.3,5224.7,5123.4
7.43,60.9,26.9,61.5,8.0,10.2,4971.0,3527.5
6.96,68.0,21.2,83.5,32.4,10.3,1412.7,1087.1
5.25,22.4,58.8,59.6,22.1,23.8,3172.3,2840.0
5.92,30.1,58.1,78.5,44.7,24.7,6612.3,7650.8
7.64,91.1,49.8,19.7,15.0,10.7,6175.5,4259.5
